geo_code,horizon,scenario,outlook_gap_score,projected_climate_pressure_score,capacity_projection_score,projected_gap_difference,trend_indicator_count,mean_residual_std,linear_beats_naive_count,linear_backtest_count,caveat_notes
AS,2030,capacity_flat,49.5753,29.301948051948052,18.181818181818183,11.120129870129869,4,1.704097755,2,4,not an operational prediction
CK,2030,capacity_flat,22.7352,25.865800865800864,42.67676767676768,-16.810966810966818,4,1.49144403,3,4,not an operational prediction
FJ,2030,capacity_flat,19.7365,66.17965367965368,86.11111111111113,-19.931457431457446,4,1.8586461425,3,4,not an operational prediction
FM,2030,capacity_flat,40.5824,67.58658008658008,65.82491582491582,1.761664261664265,4,2.7398076225,1,4,not an operational prediction
GU,2030,capacity_flat,23.2725,41.82900432900433,58.08080808080808,-16.251803751803756,4,1.6036454725000002,1,4,not an operational prediction
KI,2030,capacity_flat,61.4167,82.19696969696969,58.754208754208754,23.442760942760934,4,3.11851124,1,4,not an operational prediction
MH,2030,capacity_flat,11.4167,21.91558441558442,50.5050505050505,-28.58946608946608,4,1.7300930975000002,2,4,not an operational prediction
MP,2030,capacity_flat,38.4735,40.476190476190474,40.909090909090914,-0.4329004329004391,4,1.7885730549999999,1,4,not an operational prediction
NC,2030,capacity_flat,16.3277,49.08008658008658,72.55892255892256,-23.47883597883598,4,2.49975427,2,4,not an operational prediction
NR,2030,capacity_flat,100.0,90.53030303030303,26.93602693602693,63.5942760942761,4,4.3341835775,3,4,not an operational prediction
NU,2030,capacity_flat,79.1426,59.9025974025974,18.013468013468014,41.88912938912939,4,1.8154965125,2,4,not an operational prediction
PF,2030,capacity_flat,0.0,24.512987012987015,64.98316498316498,-40.47017797017797,4,1.2850142875000001,2,4,not an operational prediction
PG,2030,capacity_flat,3.0506,56.222943722943725,93.51851851851852,-37.295574795574794,4,1.6164340325,0,4,not an operational prediction; linear trend did not beat naive baseline
PN,2030,capacity_flat,68.4943,40.90909090909091,10.1010101010101,30.808080808080806,2,3.0288751449999998,0,2,not an operational prediction; limited climate trend coverage; linear trend did not beat naive baseline
PW,2030,capacity_flat,41.0908,53.30086580086581,51.01010101010101,2.290764790764797,4,2.1510071175000003,0,4,not an operational prediction; linear trend did not beat naive baseline
SB,2030,capacity_flat,50.1907,82.46753246753246,70.70707070707071,11.760461760461752,4,1.7954870175,1,4,not an operational prediction
TK,2030,capacity_flat,70.0774,47.18614718614718,14.73063973063973,32.45550745550745,4,2.6657573075,3,4,not an operational prediction
TO,2030,capacity_flat,30.3906,58.49567099567099,67.34006734006734,-8.844396344396344,4,2.1185195275,3,4,not an operational prediction
TV,2030,capacity_flat,72.1227,75.32467532467533,40.74074074074074,34.583934583934585,4,3.077725935,3,4,not an operational prediction
VU,2030,capacity_flat,28.6226,59.68614718614718,70.37037037037037,-10.684223184223185,4,2.2087176125,3,4,not an operational prediction
WF,2030,capacity_flat,71.285,38.25757575757575,4.545454545454546,33.712121212121204,4,1.9618987625,1,4,not an operational prediction
WS,2030,capacity_flat,18.7168,34.226190476190474,55.21885521885522,-20.992664742664743,4,1.8663537024999999,2,4,not an operational prediction
AS,2030,capacity_gradual_improvement,48.2079,29.301948051948052,22.272727272727273,7.029220779220779,4,1.704097755,2,4,not an operational prediction
CK,2030,capacity_gradual_improvement,22.0668,25.865800865800864,45.5429292929293,-19.677128427128437,4,1.49144403,3,4,not an operational prediction
FJ,2030,capacity_gradual_improvement,21.1381,66.17965367965368,86.80555555555557,-20.62590187590189,4,1.8586461425,3,4,not an operational prediction
FM,2030,capacity_gradual_improvement,41.3793,67.58658008658008,67.53367003367003,0.052910052910050354,4,2.7398076225,1,4,not an operational prediction
GU,2030,capacity_gradual_improvement,23.368,41.82900432900433,60.17676767676768,-18.347763347763355,4,1.6036454725000002,1,4,not an operational prediction
KI,2030,capacity_gradual_improvement,62.2555,82.19696969696969,60.81649831649832,21.38047138047137,4,3.11851124,1,4,not an operational prediction
MH,2030,capacity_gradual_improvement,10.9207,21.91558441558442,52.97979797979797,-31.064213564213553,4,1.7300930975000002,2,4,not an operational prediction
MP,2030,capacity_gradual_improvement,38.0117,40.476190476190474,43.86363636363637,-3.3874458874458924,4,1.7885730549999999,1,4,not an operational prediction
NC,2030,capacity_gradual_improvement,17.0025,49.08008658008658,73.93097643097643,-24.85088985088985,4,2.49975427,2,4,not an operational prediction
NR,2030,capacity_gradual_improvement,100.0,90.53030303030303,30.589225589225585,59.94107744107745,4,4.3341835775,3,4,not an operational prediction
NU,2030,capacity_gradual_improvement,78.3175,59.9025974025974,22.112794612794612,37.78980278980279,4,1.8154965125,2,4,not an operational prediction
PF,2030,capacity_gradual_improvement,0.0,24.512987012987015,66.73400673400673,-42.221019721019715,4,1.2850142875000001,2,4,not an operational prediction
PG,2030,capacity_gradual_improvement,4.504,56.222943722943725,93.8425925925926,-37.61964886964887,4,1.6164340325,0,4,not an operational prediction; linear trend did not beat naive baseline
PN,2030,capacity_gradual_improvement,67.0837,40.90909090909091,14.595959595959595,26.31313131313131,2,3.0288751449999998,0,2,not an operational prediction; limited climate trend coverage; linear trend did not beat naive baseline
PW,2030,capacity_gradual_improvement,41.1721,53.30086580086581,53.45959595959596,-0.15873015873015106,4,2.1510071175000003,0,4,not an operational prediction; linear trend did not beat naive baseline
SB,2030,capacity_gradual_improvement,51.4054,82.46753246753246,72.17171717171718,10.295815295815288,4,1.7954870175,1,4,not an operational prediction
TK,2030,capacity_gradual_improvement,68.9229,47.18614718614718,18.994107744107744,28.192039442039437,4,2.6657573075,3,4,not an operational prediction
TO,2030,capacity_gradual_improvement,31.0718,58.49567099567099,68.97306397306397,-10.47739297739298,4,2.1185195275,3,4,not an operational prediction
TV,2030,capacity_gradual_improvement,72.2792,75.32467532467533,43.7037037037037,31.620971620971623,4,3.077725935,3,4,not an operational prediction
VU,2030,capacity_gradual_improvement,29.4192,59.68614718614718,71.85185185185185,-12.165704665704666,4,2.2087176125,3,4,not an operational prediction
WF,2030,capacity_gradual_improvement,69.6544,38.25757575757575,9.318181818181818,28.93939393939393,4,1.9618987625,1,4,not an operational prediction
WS,2030,capacity_gradual_improvement,18.5874,34.226190476190474,57.45791245791246,-23.231721981721982,4,1.8663537024999999,2,4,not an operational prediction
AS,2050,capacity_flat,52.9927,32.81926406926407,18.181818181818183,14.637445887445889,4,1.704097755,2,4,not an operational prediction
CK,2050,capacity_flat,30.0569,32.84632034632034,42.67676767676768,-9.830447330447342,4,1.49144403,3,4,not an operational prediction
FJ,2050,capacity_flat,20.6898,66.28787878787878,86.11111111111113,-19.823232323232347,4,1.8586461425,3,4,not an operational prediction
FM,2050,capacity_flat,34.329,60.551948051948045,65.82491582491582,-5.272967772967775,4,2.7398076225,1,4,not an operational prediction
GU,2050,capacity_flat,23.9362,41.72077922077922,58.08080808080808,-16.360028860028862,4,1.6036454725000002,1,4,not an operational prediction
KI,2050,capacity_flat,60.1815,81.06060606060606,58.754208754208754,22.306397306397308,4,3.11851124,1,4,not an operational prediction
MH,2050,capacity_flat,15.8203,25.48701298701299,50.5050505050505,-25.01803751803751,4,1.7300930975000002,2,4,not an operational prediction
MP,2050,capacity_flat,42.2646,44.1017316017316,40.909090909090914,3.192640692640687,4,1.7885730549999999,1,4,not an operational prediction
NC,2050,capacity_flat,7.4734,38.63636363636364,72.55892255892256,-33.92255892255892,4,2.49975427,2,4,not an operational prediction
NR,2050,capacity_flat,100.0,91.72077922077922,26.93602693602693,64.78475228475229,4,4.3341835775,3,4,not an operational prediction
NU,2050,capacity_flat,77.4728,58.76623376623377,18.013468013468014,40.752765752765754,4,1.8154965125,2,4,not an operational prediction
PF,2050,capacity_flat,13.3067,37.28354978354979,64.98316498316498,-27.699615199615195,4,1.2850142875000001,2,4,not an operational prediction
PG,2050,capacity_flat,0.0,51.62337662337663,93.51851851851852,-41.89514189514189,4,1.6164340325,0,4,not an operational prediction; linear trend did not beat naive baseline
PN,2050,capacity_flat,68.1508,40.90909090909091,10.1010101010101,30.808080808080806,2,3.0288751449999998,0,2,not an operational prediction; limited climate trend coverage; linear trend did not beat naive baseline
PW,2050,capacity_flat,35.9917,47.510822510822514,51.01010101010101,-3.499278499278496,4,2.1510071175000003,0,4,not an operational prediction; linear trend did not beat naive baseline
SB,2050,capacity_flat,45.8322,77.7056277056277,70.70707070707071,6.998556998556992,4,1.7954870175,1,4,not an operational prediction
TK,2050,capacity_flat,74.0574,51.839826839826834,14.73063973063973,37.109187109187104,4,2.6657573075,3,4,not an operational prediction
TO,2050,capacity_flat,30.9305,58.44155844155844,67.34006734006734,-8.898508898508894,4,2.1185195275,3,4,not an operational prediction
TV,2050,capacity_flat,69.4584,72.94372294372295,40.74074074074074,32.202982202982206,4,3.077725935,3,4,not an operational prediction
VU,2050,capacity_flat,29.2059,59.63203463203463,70.37037037037037,-10.738335738335735,4,2.2087176125,3,4,not an operational prediction
WF,2050,capacity_flat,67.5759,34.74025974025974,4.545454545454546,30.19480519480519,4,1.9618987625,1,4,not an operational prediction
WS,2050,capacity_flat,23.9052,38.82575757575757,55.21885521885522,-16.393097643097647,4,1.8663537024999999,2,4,not an operational prediction
AS,2050,capacity_gradual_improvement,46.7793,32.81926406926407,30.454545454545453,2.364718614718619,4,1.704097755,2,4,not an operational prediction
CK,2050,capacity_gradual_improvement,25.2744,32.84632034632034,51.275252525252526,-18.428932178932186,4,1.49144403,3,4,not an operational prediction
FJ,2050,capacity_gradual_improvement,21.6778,66.28787878787878,88.19444444444446,-21.906565656565675,4,1.8586461425,3,4,not an operational prediction
FM,2050,capacity_gradual_improvement,33.5787,60.551948051948045,70.95117845117845,-10.399230399230404,4,2.7398076225,1,4,not an operational prediction
GU,2050,capacity_gradual_improvement,20.9111,41.72077922077922,64.36868686868686,-22.647907647907644,4,1.6036454725000002,1,4,not an operational prediction
KI,2050,capacity_gradual_improvement,61.0046,81.06060606060606,64.94107744107744,16.119528619528623,4,3.11851124,1,4,not an operational prediction
MH,2050,capacity_gradual_improvement,10.7817,25.48701298701299,57.92929292929292,-32.44227994227993,4,1.7300930975000002,2,4,not an operational prediction
MP,2050,capacity_gradual_improvement,38.4687,44.1017316017316,49.77272727272728,-5.67099567099568,4,1.7885730549999999,1,4,not an operational prediction
NC,2050,capacity_gradual_improvement,4.9938,38.63636363636364,76.67508417508418,-38.03872053872054,4,2.49975427,2,4,not an operational prediction
NR,2050,capacity_gradual_improvement,100.0,91.72077922077922,37.89562289562289,53.82515632515633,4,4.3341835775,3,4,not an operational prediction
NU,2050,capacity_gradual_improvement,73.7618,58.76623376623377,30.311447811447813,28.454785954785955,4,1.8154965125,2,4,not an operational prediction
PF,2050,capacity_gradual_improvement,10.2544,37.28354978354979,70.23569023569024,-32.952140452140455,4,1.2850142875000001,2,4,not an operational prediction
PG,2050,capacity_gradual_improvement,0.0,51.62337662337663,94.49074074074075,-42.86736411736412,4,1.6164340325,0,4,not an operational prediction; linear trend did not beat naive baseline
PN,2050,capacity_gradual_improvement,62.2495,40.90909090909091,23.585858585858585,17.32323232323232,2,3.0288751449999998,0,2,not an operational prediction; limited climate trend coverage; linear trend did not beat naive baseline
PW,2050,capacity_gradual_improvement,33.1149,47.510822510822514,58.358585858585855,-10.84776334776334,4,2.1510071175000003,0,4,not an operational prediction; linear trend did not beat naive baseline
SB,2050,capacity_gradual_improvement,47.0274,77.7056277056277,75.1010101010101,2.6046176046176015,4,1.7954870175,1,4,not an operational prediction
TK,2050,capacity_gradual_improvement,69.4843,51.839826839826834,27.52104377104377,24.318783068783063,4,2.6657573075,3,4,not an operational prediction
TO,2050,capacity_gradual_improvement,30.0642,58.44155844155844,72.23905723905723,-13.79749879749879,4,2.1185195275,3,4,not an operational prediction
TV,2050,capacity_gradual_improvement,68.4453,72.94372294372295,49.62962962962963,23.314093314093313,4,3.077725935,3,4,not an operational prediction
VU,2050,capacity_gradual_improvement,28.6316,59.63203463203463,74.81481481481481,-15.182780182780178,4,2.2087176125,3,4,not an operational prediction
WF,2050,capacity_gradual_improvement,60.7534,34.74025974025974,18.863636363636363,15.876623376623375,4,1.9618987625,1,4,not an operational prediction
WS,2050,capacity_gradual_improvement,20.4329,38.82575757575757,61.936026936026934,-23.110269360269363,4,1.8663537024999999,2,4,not an operational prediction
