geo_code,adaptation_gap_score,baseline_rank,pressure_heavy_score,pressure_heavy_rank,capacity_heavy_score,capacity_heavy_rank,rank_range,robustness_label
PN,100.0,1,34.3560606060606,3,8.9520202020202,1,2,sensitive
NR,88.9403,2,35.00631313131312,2,-0.38930976430976116,4,2,sensitive
AS,84.9656,3,29.318181818181813,8,2.1753246753246724,3,5,fragile
WF,82.5555,4,22.537878787878785,11,7.061688311688311,2,9,fragile
TV,77.7085,5,34.34974747474747,4,-8.559102934102935,7,3,sensitive
MH,65.9545,6,31.789772727272734,6,-15.235840548340544,9,3,sensitive
NU,63.2479,7,17.304292929292927,14,-2.877284752284753,5,9,fragile
PW,62.6435,8,30.170454545454547,7,-16.218434343434343,10,3,sensitive
FM,58.355,9,33.73737373737373,5,-23.15536315536315,12,7,fragile
SB,58.0643,10,35.53030303030303,1,-25.17676767676768,14,13,fragile
TK,55.7364,11,11.859217171717171,18,-3.3349867724867712,6,12,fragile
MP,51.1209,12,19.791666666666664,12,-14.894480519480519,8,4,fragile
VU,38.3856,13,24.570707070707062,10,-29.681337181337177,17,7,fragile
WS,36.974,14,17.733585858585858,13,-23.953523328523325,13,1,stable
KI,31.0979,15,15.915404040404031,16,-26.752946127946128,15,1,stable
CK,28.9709,16,8.314393939393938,21,-20.823412698412696,11,10,fragile
TO,26.249,17,16.682449494949488,15,-31.33041726791727,18,3,sensitive
PG,23.5272,18,25.65656565656565,9,-42.443482443482445,21,12,fragile
GU,19.8699,19,9.469696969696969,20,-29.130591630591628,16,4,fragile
NC,12.7219,20,11.328914141414138,19,-36.60699254449254,20,1,stable
FJ,10.4878,21,15.520833333333325,17,-42.5545634920635,22,5,fragile
PF,0.0,22,1.300505050505052,22,-36.575877825877825,19,3,sensitive
